date,2020-07-05,2020-07-05,2020-07-05
ASTE,Industrials,NMS,1028105600.0
ASUR,Technology,NCM,105178600.0
ASX,Technology,NYQ,10529136640.0
ASYS,,,
AT,,,
ATAX,Financial Services,NMS,242180800.0
ATCO,,,
ATCO PRD,,,
ATCO PRE,,,
ATCO PRG,,,
ATCO PRH,,,
ATCO PRI,,,
ATCX,Industrials,NGM,39736972.0
ATCX W,,,
ATEC,,,
ATEN,Technology,NYQ,525220352.0
ATEST,,,
ATEST C,,,
ATEST G,,,
ATEX,Communication Services,NCM,752453376.0
ATGE,Consumer Defensive,NYQ,1631775616.0
ATH,Financial Services,NYQ,5896640512.0
ATH PRA,,,
ATH PRB,,,
ATH PRC,,,
ATHE,Healthcare,NMS,36770880.0
ATHM,Communication Services,NYQ,9207033856.0
ATHX,Healthcare,NCM,525415936.0
ATI,,,
ATIF,,,
ATKR,Industrials,NYQ,1233009280.0
ATLC,Financial Services,NMS,172468848.0
ATLO,Financial Services,NCM,178076080.0
ATMP,,,
ATNI,Communication Services,NMS,951508736.0
ATNM,Healthcare,ASE,124078680.0
ATNX,Healthcare,NMS,1119899136.0
ATO,Utilities,NYQ,12375528448.0
ATOM,Technology,NCM,169966368.0
ATOS,,,
ATR,Consumer Cyclical,NYQ,7379556352.0
ATRA,Healthcare,NMS,1085000192.0
ATRC,Healthcare,NGM,1855356672.0
ATRI,,,
ATRO,Industrials,NMS,305990080.0
ATRS,Healthcare,NMS,451978816.0
ATSG,,,
ATTO,Industrials,NYQ,84703968.0
ATUS,Communication Services,NYQ,14030721024.0
ATV,,,
ATVI,Communication Services,NMS,59720294400.0
ATXI,,,
AU,,,
AUB,Financial Services,NMS,1678867200.0
AUBA P,,,
AUBN,Financial Services,NMS,200239328.0
AUDC,Technology,NMS,932663232.0
AUG,Basic Materials,ASE,200209920.0
AUMN,Basic Materials,ASE,54000968.0
AUPH,Healthcare,NGM,1751527040.0
AUSF,,,
AUTL,Healthcare,NMS,778468352.0
AUTO,,,
AUY,Basic Materials,NYQ,5096233472.0
AVA,Utilities,NYQ,2466303232.0
AVAL,Financial Services,NYQ,5013225472.0
AVAV,Industrials,NMS,1869982336.0
AVB,,,
AVCO,Healthcare,NCM,141269344.0
AVCT,Technology,NCM,69707088.0
AVCT W,,,
AVD,Basic Materials,NYQ,417165344.0
AVDE,,,
AVDL,Healthcare,NGM,463288128.0
AVDV,,,
AVEM,,,
AVEO,Healthcare,NCM,126189384.0
AVGO,Technology,NMS,126877302784.0
AVGO P,,,
AVGR,,,
AVID,Communication Services,NMS,323800704.0
AVK,Financial Services,NYQ,454351616.0
AVLR,Technology,NYQ,10685822976.0
AVNS,Healthcare,NYQ,1448935296.0
AVNW,,,
AVRO,Healthcare,NMS,640350848.0
AVT,Technology,NMS,2652336640.0
AVTR,Basic Materials,NYQ,10085815296.0
AVTR PRA,,,
AVUS,,,
AVUV,,,
AVXL,,,
AVY,Industrials,NYQ,9750779904.0
AVYA,Technology,NYQ,1056372352.0
AWAY,,,
AWF,Financial Services,NYQ,885579008.0
AWH,Healthcare,NCM,405761408.0
AWI,Industrials,NYQ,3743428096.0
AWK,Utilities,NYQ,23724875776.0
AWP,Financial Services,NYQ,404833888.0
AWR,Utilities,NYQ,2935581440.0
AWRE,Technology,NGM,66502668.0
AWTM,,,
AWX,Industrials,ASE,6588231.0
AX,Financial Services,NYQ,1261718016.0
AXAS,Energy,NCM,38353344.0
AXDX,,,
AXGN,Healthcare,NCM,456864224.0
AXGT,,,
AXL,Consumer Cyclical,NYQ,826658624.0
AXLA,Healthcare,NGM,189587248.0
AXNX,Healthcare,NMS,1481436544.0
AXO,,,
AXP,Financial Services,NYQ,75933016064.0
AXR,Real Estate,NYQ,38100224.0
AXS,Financial Services,NYQ,3328254976.0
AXS PRE,,,
AXSM,Healthcare,NMS,3002035712.0
AXTA,Basic Materials,NYQ,5281788928.0
AXTI,Technology,NMS,186257296.0
AXU,Basic Materials,ASE,282510592.0
AY,,,
AYI,Industrials,NYQ,3546754560.0
AYLA,,,
AYRO,,,
AYTU,,,
AYX,Technology,NYQ,11471971328.0
AZAA,,,
AZBA,,,
AZEK,,,
AZN,Healthcare,NYQ,140554649600.0
AZO,Consumer Cyclical,NYQ,26839248896.0
AZPN,Technology,NMS,7036504576.0
AZRE,Utilities,NYQ,780041984.0
AZRX,Healthcare,NCM,25286630.0
AZUL,Industrials,NYQ,1333385216.0
AZZ,Industrials,NYQ,866647680.0
B,Industrials,NYQ,1980372480.0
BA,Industrials,NYQ,102035603456.0
BAB,,,
BABA,Consumer Cyclical,NYQ,593653596160.0
BAC,Financial Services,NYQ,202054959104.0
BAC PRA,,,
BAC PRB,,,
BAC PRC,,,
BAC PRE,,,
BAC PRK,,,
BAC PRL,,,
BAC PRM,,,
BAC PRN,,,
BAF,Financial Services,NYQ,119779560.0
BAH,Industrials,NYQ,10992963584.0
BAK,Basic Materials,NYQ,3619332352.0
BAL,,,
BAM,,,
BANC,Financial Services,NYQ,507097376.0
BANC PRD,,,
BANC PRE,,,
BAND,Technology,NMS,3155683840.0
BANF,Financial Services,NMS,1252327424.0
BANF P,,,
BANR,,,
BANX,Financial Services,NMS,112008216.0
BAP,Financial Services,NYQ,10538888192.0
BAPR,,,
BAR,,,
BASI,Healthcare,NMS,55951148.0
BATL,Energy,ASE,150211088.0
BATR A,,,
BATR K,,,
BATT,,,
BAUG,,,
